time;latitude;longitude;velocity
2025-08-23T13:34:25.015Z;47.0082017;9.5044777;7.65
2025-08-23T13:34:29.005Z;47.0079441;9.5043011;8.03
2025-08-23T13:34:30.008Z;47.0078625;9.5042431;8.07
2025-08-23T13:34:35.014Z;47.0075482;9.5040269;8.23
2025-08-23T13:34:40.011Z;47.007212;9.5037944;8.25
2025-08-23T13:34:45.007Z;47.006878;9.5035641;8.08
2025-08-23T13:34:50.005Z;47.0065405;9.5033319;8.29
2025-08-23T13:34:55.004Z;47.0062053;9.5031047;8.2
2025-08-23T13:35:00.004Z;47.0058452;9.5028522;8.78
2025-08-23T13:35:05.005Z;47.0054837;9.5026057;8.86
2025-08-23T13:35:10.004Z;47.0051471;9.5023709;8.35
2025-08-23T13:35:14.014Z;47.0048651;9.5021715;8.4
2025-08-23T13:35:15.006Z;47.0048054;9.5021287;8.35
2025-08-23T13:35:20.006Z;47.0044646;9.5018934;8.34
2025-08-23T13:35:25.005Z;47.004135;9.5016664;8.34
2025-08-23T13:35:30.009Z;47.0038289;9.5014526;7.66
2025-08-23T13:35:35.020Z;47.0035597;9.50127;6.46
2025-08-23T13:35:40.011Z;47.0034276;9.5011594;4.04
2025-08-23T13:35:45.005Z;47.003422;9.5010816;1.23
2025-08-23T13:35:50.005Z;47.0035002;9.5009865;2.09
2025-08-23T13:35:55.011Z;47.003561;9.5008456;2.95
2025-08-23T13:36:00.011Z;47.0033948;9.5007356;4.39
2025-08-23T13:36:05.021Z;47.0031779;9.5006507;4.8
2025-08-23T13:36:10.015Z;47.002942;9.5006356;5.42
2025-08-23T13:36:15.022Z;47.0026859;9.5006309;5.17
2025-08-23T13:36:20.015Z;47.0024268;9.5005072;5.67
2025-08-23T13:36:25.010Z;47.0021327;9.5004945;6.6
2025-08-23T13:36:30.018Z;47.0018382;9.5006163;6.95
2025-08-23T13:36:35.014Z;47.0015747;9.5007759;6.46
2025-08-23T13:36:40.012Z;47.0013933;9.500891;4.81
2025-08-23T13:36:45.005Z;47.0013152;9.5007433;3.15
2025-08-23T13:36:50.013Z;47.0010881;9.5007296;4.41
2025-08-23T13:36:55.018Z;47.0007874;9.5007121;6.64
2025-08-23T13:37:00.003Z;47.0005108;9.5007088;6.45
2025-08-23T13:37:05.016Z;47.0003173;9.5006917;4.69
2025-08-23T13:37:10.011Z;47.0001916;9.5006306;2.6
2025-08-23T13:37:15.016Z;47.0000056;9.5005009;4.34
2025-08-23T13:37:20.006Z;46.9998724;9.5002892;4.9
2025-08-23T13:37:25.019Z;46.9997476;9.500137;3.78
2025-08-23T13:37:30.014Z;46.9996213;9.5000698;2.85
2025-08-23T13:37:35.007Z;46.9994386;9.499986;4.16
2025-08-23T13:37:40.004Z;46.9992295;9.4998404;4.88
2025-08-23T13:37:45.016Z;46.9989715;9.4996672;6.06
2025-08-23T13:37:50.004Z;46.9987051;9.4994573;6.87
2025-08-23T13:37:55.017Z;46.9984387;9.4992327;6.7
2025-08-23T13:38:00.005Z;46.9982764;9.4988763;6.49
2025-08-23T13:38:01.009Z;46.9982534;9.4988216;6.56
2025-08-23T13:38:05.017Z;46.9980906;9.4985638;6.46
2025-08-23T13:38:10.007Z;46.9978498;9.4983764;6.32
2025-08-23T13:38:15.018Z;46.9975738;9.498208;6.41
2025-08-23T13:38:20.009Z;46.9973421;9.4980278;6.14
2025-08-23T13:38:25.009Z;46.9971687;9.4977713;5.43
2025-08-23T13:38:30.018Z;46.9970564;9.4974887;5.3
2025-08-23T13:38:35.021Z;46.9969355;9.4972973;3.81
2025-08-23T13:38:40.004Z;46.9969008;9.4972033;1.91
2025-08-23T13:38:45.014Z;46.9968463;9.4971427;0.98
2025-08-23T13:38:49.023Z;46.9967671;9.4970511;2.31
2025-08-23T13:38:50.009Z;46.996743;9.4970267;2.8
2025-08-23T13:38:55.007Z;46.9965931;9.4968342;4.15
2025-08-23T13:38:57.005Z;46.996536;9.4967492;4.27
2025-08-23T13:39:00.016Z;46.9964468;9.4965993;4.69
2025-08-23T13:39:05.004Z;46.9962946;9.4963544;4.74
2025-08-23T13:39:10.008Z;46.9961537;9.4960175;5.61
2025-08-23T13:39:15.016Z;46.9959941;9.4956681;6.33
2025-08-23T13:39:20.005Z;46.9958047;9.4952836;6.99
2025-08-23T13:39:25.004Z;46.9955976;9.4949552;6.94
2025-08-23T13:39:30.006Z;46.9953318;9.4946936;7.11
2025-08-23T13:39:35.018Z;46.9950397;9.4945159;6.92
2025-08-23T13:39:40.018Z;46.9947812;9.4943282;6.52
2025-08-23T13:39:45.005Z;46.994507;9.4942547;6.43
2025-08-23T13:39:50.021Z;46.9942303;9.4941005;6.73
2025-08-23T13:39:55.019Z;46.9939506;9.4938848;6.61
2025-08-23T13:40:00.017Z;46.9936992;9.4936818;6.39
2025-08-23T13:40:05.005Z;46.9934212;9.4935781;6.55
2025-08-23T13:40:10.005Z;46.9931521;9.4934733;6.4
2025-08-23T13:40:15.017Z;46.9929787;9.4933334;4.4
2025-08-23T13:40:20.017Z;46.9927962;9.49316;4.82
2025-08-23T13:40:25.017Z;46.9925803;9.4929305;5.97
2025-08-23T13:40:30.015Z;46.9923331;9.4926349;6.65
2025-08-23T13:40:35.006Z;46.9920781;9.4923715;6.92
2025-08-23T13:40:40.016Z;46.9918956;9.4920342;6.52
2025-08-23T13:40:45.019Z;46.991704;9.4916777;6.63
2025-08-23T13:40:50.007Z;46.9914874;9.4913821;6.69
2025-08-23T13:40:55.004Z;46.9912927;9.4911722;5.6
2025-08-23T13:41:00.017Z;46.9911755;9.4909086;4.63
2025-08-23T13:41:05.004Z;46.9909981;9.4905591;6.28
2025-08-23T13:41:10.010Z;46.9908636;9.4902303;6.13
2025-08-23T13:41:15.012Z;46.9907785;9.4898283;6.3
2025-08-23T13:41:20.005Z;46.9906068;9.4894539;6.82
2025-08-23T13:41:25.005Z;46.9903665;9.48924;6.39
2025-08-23T13:41:30.011Z;46.9900742;9.4891882;6.56
2025-08-23T13:41:35.020Z;46.9897894;9.489079;6.83
2025-08-23T13:41:40.006Z;46.9894754;9.488925;7.03
2025-08-23T13:41:45.016Z;46.9892039;9.4888052;6.58
2025-08-23T13:41:50.006Z;46.9889448;9.4889276;6.11
2025-08-23T13:41:55.012Z;46.988737;9.4892251;6.41
2025-08-23T13:42:00.017Z;46.988572;9.4894977;6.06
2025-08-23T13:42:05.009Z;46.9884271;9.4896197;3.71
2025-08-23T13:42:10.016Z;46.9882835;9.4896298;3.45
2025-08-23T13:42:15.013Z;46.9881212;9.4895235;3.61
2025-08-23T13:42:20.005Z;46.987855;9.4893838;6.4
2025-08-23T13:42:25.017Z;46.987532;9.4893582;7.18
2025-08-23T13:42:30.018Z;46.9872394;9.4894725;6.91
2025-08-23T13:42:35.022Z;46.9869951;9.4897514;6.73
2025-08-23T13:42:40.005Z;46.986733;9.489999;6.89
2025-08-23T13:42:45.005Z;46.9864959;9.4903362;7.38
2025-08-23T13:42:50.007Z;46.9863678;9.4907318;6.91
2025-08-23T13:42:55.013Z;46.9862811;9.4909929;4.59
2025-08-23T13:43:00.023Z;46.9861405;9.4912181;4.45
2025-08-23T13:43:05.005Z;46.9859712;9.4914342;5.19
2025-08-23T13:43:10.016Z;46.9857476;9.4915944;5.6
2025-08-23T13:43:15.013Z;46.9854778;9.491606;6.29
2025-08-23T13:43:19.009Z;46.9852382;9.4915826;6.47
2025-08-23T13:43:20.013Z;46.9851855;9.4915718;6.45
2025-08-23T13:43:25.018Z;46.9849769;9.4913404;6.25
2025-08-23T13:43:30.005Z;46.9848026;9.4911031;5.09
2025-08-23T13:43:35.009Z;46.9845897;9.490861;5.86
2025-08-23T13:43:40.009Z;46.9843863;9.490546;6.61
2025-08-23T13:43:45.011Z;46.9842757;9.4901878;6.03
2025-08-23T13:43:50.020Z;46.9841948;9.489796;6.32
2025-08-23T13:43:55.024Z;46.9842023;9.4893362;6.51
2025-08-23T13:44:00.015Z;46.9841411;9.4889423;6.42
2025-08-23T13:44:05.015Z;46.9839015;9.4886502;7.13
2025-08-23T13:44:10.005Z;46.983564;9.4885455;7.49
2025-08-23T13:44:15.012Z;46.9832734;9.4885866;6.75
2025-08-23T13:44:20.005Z;46.9830283;9.4886027;5.44
2025-08-23T13:44:25.013Z;46.9827239;9.4885474;6.56
2025-08-23T13:44:30.013Z;46.9823759;9.4885201;7.58
2025-08-23T13:44:35.015Z;46.9820543;9.4884852;7.13
2025-08-23T13:44:40.023Z;46.9817586;9.4883582;6.76
2025-08-23T13:44:45.010Z;46.9814328;9.4883569;7.25
2025-08-23T13:44:50.013Z;46.9811223;9.4883315;7.23
2025-08-23T13:44:55.015Z;46.980798;9.4881803;7.2
2025-08-23T13:45:00.007Z;46.9805257;9.487942;7.19
2025-08-23T13:45:05.014Z;46.9803038;9.4876613;6.98
2025-08-23T13:45:10.012Z;46.9801479;9.4874082;4.96
2025-08-23T13:45:15.004Z;46.9800094;9.4870761;5.94
2025-08-23T13:45:20.022Z;46.9799078;9.4866614;6.81
